81,74
48,72
5,8
14,92
91,93
17,28
32,16
14,79
80,76
95,48
86,75
87,60
95,18
61,96
56,72
60,75
67,54
44,14
36,90
41,2
25,19
43,23
19,57
14,7
96,45
43,19
31,92
11,28
47,62
97,24
3,71
59,14
28,26
93,46
37,74
13,37
10,72
72,64
73,22
40,7
56,82
76,91
17,14
19,1
34,98
25,91
27,72
4,62
35,8
64,100
85,33
97,63
47,31
65,45
36,89
42,16
99,87
6,15
23,90
6,40
54,86
100,44
99,86
12,28
57,68
100,53
38,77
7,48
17,5
44,46
70,33
17,53
12,42
50,53
38,21
79,33
81,98
89,42
92,97
57,21
50,40
7,52
66,82
80,53
88,87
75,26
45,3
94,21
82,11
94,77
54,41
57,85
59,81
30,25
5,41
72,14
50,38
3,84
99,64
56,98
66,41
63,55
31,1
11,10
14,98
55,52
4,57
85,91
35,21
60,48
21,72
91,7
44,62
54,30
41,82
84,20
88,76
10,31
16,73
13,54
57,98
15,11
76,82
97,11
55,100
81,46
4,55
18,98
2,90
98,36
3,62
71,32
96,4
84,48
33,10
92,4
19,38
84,44
57,35
40,85
7,64
68,39
10,40
31,14
31,49
33,88
13,63
29,54
64,44
56,41
1,94
43,99
38,22
11,85
20,68
46,36
61,12
70,9
59,89
23,82
38,93
20,49
36,82
52,15
87,100
26,76
13,30
52,10
62,7
34,91
18,78
33,81
24,38
33,93
31,79
13,24
52,60
5,53
1,26
89,66
14,70
64,35
48,59
40,42
1,37
8,80
75,49
56,42
38,43
96,53
6,27
15,42
76,57
78,20
30,14
98,95
35,69
99,47
19,35
31,38
25,53
27,39
26,22
49,85
30,90
16,78
29,46
57,90
32,76
41,76
67,41
93,13
76,22
78,5
100,97
17,36
50,60
70,81
58,92
3,15
58,15
18,38
57,75
16,49
30,29
92,42
21,14
93,51
71,75
74,34
46,72
31,20
41,53
58,14
90,5
32,50
97,52
74,72
31,82
4,91
20,96
61,45
54,92
12,77
53,79
9,17
90,37
37,58
93,67
58,41
10,82
25,52
82,88
42,46
64,40
29,16
97,76
67,35
26,95
12,1
73,12
43,57
94,88
43,98
96,44
64,77
94,39
62,93
53,10
63,57
63,92
76,11
24,5
72,79
85,53
85,90
47,16
50,95
75,21
52,40
23,92
49,15
71,55
94,65
94,63
72,54
16,43
24,66
29,41
22,8
97,31
9,45
51,23
66,3
56,47
26,6
21,25
15,34
66,5
71,4
71,64
92,65
44,59
65,74
59,74
44,57
91,22
30,91
56,35
75,8
5,94
59,25
32,8
23,91
17,50
58,79
22,9
85,25
87,31
2,1
10,51
24,86
58,73
63,39
47,74
83,47
38,89
92,77
58,10
32,25
73,40
11,12
50,87
94,57
28,61
17,55
72,76
92,49
54,74
15,4
99,49
84,80
88,71
93,88
15,17
84,93
68,13
25,80
70,94
91,92
67,26
86,80
100,99
36,58
2,36
52,30
5,98
26,99
85,23
1,58
93,99
4,86
61,51
26,33
88,75
35,28
52,73
5,80
78,73
20,87
7,20
68,79
69,98
66,84
89,91
93,98
2,78
45,68
60,59
59,69
97,48
89,65
93,21
57,25
54,60
20,22
17,71
97,23
46,4
80,78
62,14
93,45
96,63
3,12
85,36
96,62
94,83
89,21
24,72
61,37
57,31
46,77
36,49
27,99
9,75
40,44
79,61
71,94
66,58
17,87
26,51
45,20
99,36
68,99
62,18
70,50
78,41
95,52
42,66
12,18
91,86
56,75
57,82
6,45
3,100
14,27
97,39
78,34
68,16
39,72
6,1
63,82
78,6
69,11
3,55
68,81
64,81
23,88
84,87
48,53
22,33
57,92
26,53
22,89
85,48
78,92
63,31
92,74
52,53
60,84
85,41
76,75
85,14
20,88
31,84
22,72
76,35
26,23
95,6
14,22
45,14
14,46
43,46
6,63
5,74
48,3
51,64
60,49
37,68
65,6
25,54
80,81
40,100
88,1
57,59
99,80
47,12
43,95
52,19
77,67
21,73
42,59
97,99
38,64
97,98
41,7
11,100
39,88
97,75
94,12
11,42
49,84
70,86
73,25
70,25
37,59
44,50
92,29
75,79
47,13
